,ID,Gender,Experience (Years),Position,Salary,Month,prediction
200,201,F,7,IT Security Analyst,157825,Mar,114161.04298024427
201,202,M,11,DevOps Engineer,196310,Mar,127901.32095237702
202,203,F,11,Cloud Solutions Architect,150681,Mar,143872.6648059857
203,204,F,14,Web Developer,148073,Mar,94669.14390801013
204,205,F,19,IT Security Analyst,154443,Mar,119974.11487849898
205,206,M,19,Web Developer,119320,Mar,120371.07459819753
206,207,F,9,IT Security Analyst,142031,Mar,110212.80264284358
207,208,F,0,IT Manager,149762,Mar,108378.6964810662
208,209,F,10,Web Developer,143649,Mar,123922.35521589966
209,210,M,11,Database Administrator (DBA),93165,Mar,159730.27975701494
210,211,F,4,Web Developer,68000,Mar,150092.8686009031
211,212,F,6,IT Support Specialist,78006,Mar,108378.6964810662
212,213,M,6,Systems Administrator,127764,Mar,163816.72532600205
213,214,M,8,IT Support Specialist,110734,Mar,142543.28930586012
214,215,M,9,Network Administrator,85199,Mar,164610.93587484263
215,216,M,11,Web Developer,114608,Mar,150740.98211557063
216,217,M,14,IT Security Analyst,183382,Mar,106815.0770551213
217,218,F,14,Web Developer,162487,Mar,163816.72532600205
218,219,F,11,IT Security Analyst,149970,Mar,107716.76743647165
219,220,M,4,Database Administrator (DBA),94797,Mar,115921.79771040674
220,221,M,3,Software Engineer,100026,Mar,154973.52471873083
221,222,F,0,Software Engineer,103124,Mar,176045.95308605948
222,223,M,9,Systems Administrator,129155,Mar,87539.55138479087
223,224,M,8,Systems Administrator,131847,Mar,193894.87258180886
224,225,M,18,Web Developer,152404,Mar,71564.5134199205
225,226,F,9,Systems Administrator,137897,Mar,179252.90422832576
226,227,M,20,DevOps Engineer,218258,Mar,154849.62363918725
227,228,F,14,Systems Analyst,186294,Mar,172676.34718030712
228,229,F,18,Software Engineer,190752,Mar,158952.49045520817
229,230,M,0,Systems Administrator,71389,Mar,180926.6092038872
230,231,M,3,Web Developer,94989,Mar,126337.70152643212
231,232,M,14,IT Manager,204549,Mar,132781.97707020474
232,233,F,19,IT Support Specialist,136355,Mar,121060.73553170808
233,234,F,4,Web Developer,96910,Mar,101934.42093729359
234,235,M,8,DevOps Engineer,150620,Mar,124787.89763041423
235,236,M,0,IT Support Specialist,70195,Mar,139305.96490435378
236,237,F,5,Systems Administrator,93860,Mar,159847.70277085606
237,238,M,17,Software Engineer,150031,Mar,113387.03512966726
238,239,F,11,Database Administrator (DBA),97981,Mar,53633.24026347058
239,240,F,14,IT Support Specialist,91480,Mar,105248.85191206961
240,241,M,5,Systems Administrator,73047,Mar,140979.66987991522
